Training images: /dtu/blackhole/07/203495/ADLCV-project/data/ISIC_2019_Training_Input
Training csv: /dtu/blackhole/07/203495/ADLCV-project/data/ISIC_2019_Training_Input/generated_descriptions_isic_full.csv
Columns in CSV: Index(['image_id', 'generated_text'], dtype='object')
Number of valid images with descriptions loaded: 25331
Using device: cuda
Epoch 1, Step 1, Loss: 0.12460420280694962
Epoch 1, Step 2, Loss: 0.013134030625224113
Epoch 1, Step 3, Loss: 0.0048076799139380455
Epoch 1, Step 4, Loss: 0.25464117527008057
Epoch 1, Step 5, Loss: 0.07838469743728638
Epoch 1, Step 6, Loss: 0.47680819034576416
Epoch 1, Step 7, Loss: 0.11807957291603088
Epoch 1, Step 8, Loss: 0.020071640610694885
Epoch 1, Step 9, Loss: 0.3287757337093353
Epoch 1, Step 10, Loss: 0.060089901089668274
Epoch 1, Step 11, Loss: 0.08170610666275024
Epoch 1, Step 12, Loss: 0.01284799538552761
Epoch 1, Step 13, Loss: 0.03130417317152023
Epoch 1, Step 14, Loss: 0.052055180072784424
Epoch 1, Step 15, Loss: 0.04181119054555893
Epoch 1, Step 16, Loss: 0.0030294754542410374
Epoch 1, Step 17, Loss: 0.005719691514968872
Epoch 1, Step 18, Loss: 0.1430259644985199
Epoch 1, Step 19, Loss: 0.013137022033333778
Epoch 1, Step 20, Loss: 0.09326089918613434
Epoch 1, Step 21, Loss: 0.5254669189453125
Epoch 1, Step 22, Loss: 0.07620429992675781
Epoch 1, Step 23, Loss: 0.039331890642642975
Epoch 1, Step 24, Loss: 0.08423881232738495
Epoch 1, Step 25, Loss: 0.039617277681827545
Epoch 1, Step 26, Loss: 0.0745965987443924
Epoch 1, Step 27, Loss: 0.02126210182905197
Epoch 1, Step 28, Loss: 0.006053238175809383
Epoch 1, Step 29, Loss: 0.19995057582855225
Epoch 1, Step 30, Loss: 0.058502115309238434
Epoch 1, Step 31, Loss: 0.004567502532154322
Epoch 1, Step 32, Loss: 0.009679587557911873
Epoch 1, Step 33, Loss: 0.004751849919557571
Epoch 1, Step 34, Loss: 0.5961642265319824
Epoch 1, Step 35, Loss: 0.00817495584487915
Epoch 1, Step 36, Loss: 0.04799384996294975
Epoch 1, Step 37, Loss: 0.008693937212228775
Epoch 1, Step 38, Loss: 0.17487508058547974
Epoch 1, Step 39, Loss: 0.12520571053028107
Epoch 1, Step 40, Loss: 0.03591392934322357
Epoch 1, Step 41, Loss: 0.036938536912202835
Epoch 1, Step 42, Loss: 0.2325398176908493
Epoch 1, Step 43, Loss: 0.0630100667476654
Epoch 1, Step 44, Loss: 0.00321962870657444
Epoch 1, Step 45, Loss: 0.5937731266021729
Epoch 1, Step 46, Loss: 0.11782357841730118
Epoch 1, Step 47, Loss: 0.0733313113451004
Epoch 1, Step 48, Loss: 0.0030638733878731728
Epoch 1, Step 49, Loss: 0.006332064513117075
Epoch 1, Step 50, Loss: 0.13799181580543518
Epoch 1, Step 51, Loss: 0.0018044961616396904
Epoch 1, Step 52, Loss: 0.09146593511104584
Epoch 1, Step 53, Loss: 0.6187949776649475
Epoch 1, Step 54, Loss: 0.4565393030643463
Epoch 1, Step 55, Loss: 0.024492021650075912
Epoch 1, Step 56, Loss: 0.011005088686943054
Epoch 1, Step 57, Loss: 0.007492557633668184
Epoch 1, Step 58, Loss: 0.26521769165992737
Epoch 1, Step 59, Loss: 0.002190958708524704
Epoch 1, Step 60, Loss: 0.012241028249263763
Epoch 1, Step 61, Loss: 0.012740520760416985
Epoch 1, Step 62, Loss: 0.2068055272102356
Epoch 1, Step 63, Loss: 0.30809324979782104
Epoch 1, Step 64, Loss: 0.29582345485687256
Epoch 1, Step 65, Loss: 0.01095152460038662
Epoch 1, Step 66, Loss: 0.010066292248666286
Epoch 1, Step 67, Loss: 0.0031780488789081573
Epoch 1, Step 68, Loss: 0.0703236311674118
Epoch 1, Step 69, Loss: 0.047437913715839386
Epoch 1, Step 70, Loss: 0.44153761863708496
Epoch 1, Step 71, Loss: 0.0021953745745122433
Epoch 1, Step 72, Loss: 0.013200999237596989
Epoch 1, Step 73, Loss: 0.0023655437398701906
Epoch 1, Step 74, Loss: 0.015172995626926422
Epoch 1, Step 75, Loss: 0.007798261009156704
Epoch 1, Step 76, Loss: 0.0077668484300374985
Epoch 1, Step 77, Loss: 0.02534634619951248
Epoch 1, Step 78, Loss: 0.04918593913316727
Epoch 1, Step 79, Loss: 0.22363196313381195
Epoch 1, Step 80, Loss: 0.018735818564891815
Epoch 1, Step 81, Loss: 0.03131617605686188
Epoch 1, Step 82, Loss: 0.03947804123163223
Epoch 1, Step 83, Loss: 0.010137731209397316
Epoch 1, Step 84, Loss: 0.02876695618033409
Epoch 1, Step 85, Loss: 0.006213671527802944
Epoch 1, Step 86, Loss: 0.007439079228788614
Epoch 1, Step 87, Loss: 0.13971227407455444
Epoch 1, Step 88, Loss: 0.03851750120520592
Epoch 1, Step 89, Loss: 0.19165833294391632
Epoch 1, Step 90, Loss: 0.034946780651807785
Epoch 1, Step 91, Loss: 0.8554667830467224
Epoch 1, Step 92, Loss: 0.00974262785166502
Epoch 1, Step 93, Loss: 0.10044856369495392
Epoch 1, Step 94, Loss: 0.052034247666597366
Epoch 1, Step 95, Loss: 0.4949738383293152
Epoch 1, Step 96, Loss: 0.038034986704587936
Epoch 1, Step 97, Loss: 0.19866934418678284
Epoch 1, Step 98, Loss: 0.41107332706451416
Epoch 1, Step 99, Loss: 0.5264177322387695
Epoch 1, Step 100, Loss: 0.02597293257713318
Epoch 1, Step 101, Loss: 0.01615602895617485
Epoch 1, Step 102, Loss: 0.18100246787071228
Epoch 1, Step 103, Loss: 0.0458856001496315
Epoch 1, Step 104, Loss: 0.010045679286122322
Epoch 1, Step 105, Loss: 0.5368994474411011
Epoch 1, Step 106, Loss: 0.37697261571884155
Epoch 1, Step 107, Loss: 0.912639319896698
Epoch 1, Step 108, Loss: 0.11622272431850433
Epoch 1, Step 109, Loss: 0.5964658856391907
Epoch 1, Step 110, Loss: 0.7309921979904175
Epoch 1, Step 111, Loss: 0.01586160436272621
Epoch 1, Step 112, Loss: 0.027409937232732773
Epoch 1, Step 113, Loss: 0.031608160585165024
Epoch 1, Step 114, Loss: 0.002100306563079357
Epoch 1, Step 115, Loss: 0.019671708345413208
Epoch 1, Step 116, Loss: 0.04491294175386429
Epoch 1, Step 117, Loss: 0.005638768896460533
Epoch 1, Step 118, Loss: 0.12525616586208344
Epoch 1, Step 119, Loss: 0.35130634903907776
Epoch 1, Step 120, Loss: 0.13360998034477234
Epoch 1, Step 121, Loss: 0.016103826463222504
Epoch 1, Step 122, Loss: 0.029015760868787766
Epoch 1, Step 123, Loss: 0.04825885221362114
Epoch 1, Step 124, Loss: 0.0027620443142950535
Epoch 1, Step 125, Loss: 0.08666593581438065
Epoch 1, Step 126, Loss: 0.046245962381362915
Epoch 1, Step 127, Loss: 0.06378759443759918
Epoch 1, Step 128, Loss: 0.013805584982037544
Epoch 1, Step 129, Loss: 0.49644461274147034
Epoch 1, Step 130, Loss: 0.10180407762527466
Epoch 1, Step 131, Loss: 0.02964540757238865
Epoch 1, Step 132, Loss: 0.3082371950149536
Epoch 1, Step 133, Loss: 0.20675496757030487
Epoch 1, Step 134, Loss: 0.0673566460609436
Epoch 1, Step 135, Loss: 0.7487263679504395
Epoch 1, Step 136, Loss: 0.06820888072252274
Epoch 1, Step 137, Loss: 0.00335026066750288
Epoch 1, Step 138, Loss: 0.22905172407627106
Epoch 1, Step 139, Loss: 0.11295823752880096
Epoch 1, Step 140, Loss: 0.009457424283027649
Epoch 1, Step 141, Loss: 0.7800557017326355
Epoch 1, Step 142, Loss: 0.34262746572494507
Epoch 1, Step 143, Loss: 0.025579314678907394
Epoch 1, Step 144, Loss: 0.06904007494449615
Epoch 1, Step 145, Loss: 0.00618565920740366
Epoch 1, Step 146, Loss: 0.0971565693616867
Epoch 1, Step 147, Loss: 0.0027767312712967396
Epoch 1, Step 148, Loss: 0.003289271844550967
Epoch 1, Step 149, Loss: 0.05503377690911293
Epoch 1, Step 150, Loss: 0.5522588491439819
Epoch 1, Step 151, Loss: 0.01005124393850565
Epoch 1, Step 152, Loss: 0.24585367739200592
Epoch 1, Step 153, Loss: 0.007564309518784285
Epoch 1, Step 154, Loss: 0.37355634570121765
Epoch 1, Step 155, Loss: 0.002035178244113922
Epoch 1, Step 156, Loss: 0.11658044159412384
Epoch 1, Step 157, Loss: 0.19460192322731018
Epoch 1, Step 158, Loss: 0.09729626774787903
Epoch 1, Step 159, Loss: 0.031480636447668076
Epoch 1, Step 160, Loss: 0.10296256840229034
Epoch 1, Step 161, Loss: 0.027717456221580505
Epoch 1, Step 162, Loss: 0.005152451805770397
Epoch 1, Step 163, Loss: 0.003249804023653269
Epoch 1, Step 164, Loss: 0.005889491178095341
Epoch 1, Step 165, Loss: 0.08945024013519287
Epoch 1, Step 166, Loss: 0.09469520300626755
Epoch 1, Step 167, Loss: 0.18398413062095642
Epoch 1, Step 168, Loss: 0.014263797551393509
Epoch 1, Step 169, Loss: 0.0848851129412651
Epoch 1, Step 170, Loss: 0.08548178523778915
Epoch 1, Step 171, Loss: 0.3611343801021576
Epoch 1, Step 172, Loss: 0.004539253190159798
Epoch 1, Step 173, Loss: 0.05658790096640587
Epoch 1, Step 174, Loss: 0.0037911508698016405
Epoch 1, Step 175, Loss: 0.01649191603064537
Epoch 1, Step 176, Loss: 0.003227052977308631
Epoch 1, Step 177, Loss: 0.27056795358657837
Epoch 1, Step 178, Loss: 0.006878518033772707
Epoch 1, Step 179, Loss: 0.00609409436583519
Epoch 1, Step 180, Loss: 0.002671916503459215
Epoch 1, Step 181, Loss: 0.028280295431613922
Epoch 1, Step 182, Loss: 0.10875697433948517
Epoch 1, Step 183, Loss: 0.6749983429908752
Epoch 1, Step 184, Loss: 0.2780526876449585
Epoch 1, Step 185, Loss: 0.009008163586258888
Epoch 1, Step 186, Loss: 0.5060513019561768
Epoch 1, Step 187, Loss: 0.01128783356398344
Epoch 1, Step 188, Loss: 0.005796369165182114
Epoch 1, Step 189, Loss: 0.04062457010149956
Epoch 1, Step 190, Loss: 0.0352032408118248
Epoch 1, Step 191, Loss: 0.17100048065185547
Epoch 1, Step 192, Loss: 0.05139698088169098
Epoch 1, Step 193, Loss: 0.09309272468090057
Epoch 1, Step 194, Loss: 0.09529663622379303
Epoch 1, Step 195, Loss: 0.09629610180854797
Epoch 1, Step 196, Loss: 0.5892565846443176
Epoch 1, Step 197, Loss: 0.1882968544960022
Epoch 1, Step 198, Loss: 0.08897247165441513
Epoch 1, Step 199, Loss: 0.09041113406419754
Epoch 1, Step 200, Loss: 0.015662001445889473
Epoch 1, Step 201, Loss: 0.005983998998999596
Epoch 1, Step 202, Loss: 0.0733780488371849
Epoch 1, Step 203, Loss: 0.3692370355129242
Epoch 1, Step 204, Loss: 0.06371188163757324
Epoch 1, Step 205, Loss: 0.06807589530944824
Epoch 1, Step 206, Loss: 0.45866039395332336
Epoch 1, Step 207, Loss: 0.2335047721862793
Epoch 1, Step 208, Loss: 0.708275318145752
Epoch 1, Step 209, Loss: 0.310307115316391
Epoch 1, Step 210, Loss: 0.00530757661908865
Epoch 1, Step 211, Loss: 0.046389319002628326
Epoch 1, Step 212, Loss: 0.05769523233175278
Epoch 1, Step 213, Loss: 0.5949298143386841
Epoch 1, Step 214, Loss: 0.11713580787181854
Epoch 1, Step 215, Loss: 0.1475958377122879
Epoch 1, Step 216, Loss: 0.01577339693903923
Epoch 1, Step 217, Loss: 0.030100002884864807
Epoch 1, Step 218, Loss: 0.043236613273620605
Epoch 1, Step 219, Loss: 0.40846213698387146
Epoch 1, Step 220, Loss: 0.10097050666809082
Epoch 1, Step 221, Loss: 0.39908671379089355
Epoch 1, Step 222, Loss: 0.1311577558517456
Epoch 1, Step 223, Loss: 0.16549736261367798
Epoch 1, Step 224, Loss: 0.2681533098220825
Epoch 1, Step 225, Loss: 0.13786503672599792
Epoch 1, Step 226, Loss: 0.011128964833915234
Epoch 1, Step 227, Loss: 0.020724128931760788
Epoch 1, Step 228, Loss: 0.0017735227011144161
Epoch 1, Step 229, Loss: 0.14692388474941254
Epoch 1, Step 230, Loss: 0.16661107540130615
Epoch 1, Step 231, Loss: 0.019870471209287643
Epoch 1, Step 232, Loss: 0.018452484160661697
Epoch 1, Step 233, Loss: 0.04437698423862457
Epoch 1, Step 234, Loss: 0.018192831426858902
Epoch 1, Step 235, Loss: 0.007630662992596626
Epoch 1, Step 236, Loss: 0.04306354746222496
Epoch 1, Step 237, Loss: 0.003027366939932108
Epoch 1, Step 238, Loss: 0.005897564813494682
Epoch 1, Step 239, Loss: 0.016736963763833046
Epoch 1, Step 240, Loss: 0.06846151500940323
Epoch 1, Step 241, Loss: 0.0043623559176921844
Epoch 1, Step 242, Loss: 0.1780930459499359
Epoch 1, Step 243, Loss: 0.08347630500793457
Epoch 1, Step 244, Loss: 0.0035704479087144136
Epoch 1, Step 245, Loss: 0.0026035583578050137
Epoch 1, Step 246, Loss: 0.009416026063263416
Epoch 1, Step 247, Loss: 0.0854213535785675
Epoch 1, Step 248, Loss: 0.001559453085064888
Epoch 1, Step 249, Loss: 0.02103525400161743
Epoch 1, Step 250, Loss: 0.0035727834329009056
Epoch 1, Step 251, Loss: 0.21063604950904846
Epoch 1, Step 252, Loss: 0.003638994414359331
Epoch 1, Step 253, Loss: 0.0029500355012714863
Epoch 1, Step 254, Loss: 0.29043781757354736
Epoch 1, Step 255, Loss: 0.4760735332965851
Epoch 1, Step 256, Loss: 0.01416974887251854
Epoch 1, Step 257, Loss: 0.02634321339428425
Epoch 1, Step 258, Loss: 0.0030118029098957777
Epoch 1, Step 259, Loss: 0.14077092707157135
Epoch 1, Step 260, Loss: 0.3519956171512604
Epoch 1, Step 261, Loss: 0.0025584471877664328
Epoch 1, Step 262, Loss: 0.012250827625393867
Epoch 1, Step 263, Loss: 0.03685691952705383
Epoch 1, Step 264, Loss: 0.03217621147632599
Epoch 1, Step 265, Loss: 0.0041190022602677345
Epoch 1, Step 266, Loss: 0.002952957060188055
Epoch 1, Step 267, Loss: 0.19042423367500305
Epoch 1, Step 268, Loss: 0.04011281579732895
Epoch 1, Step 269, Loss: 0.049849171191453934
Epoch 1, Step 270, Loss: 0.19390884041786194
Epoch 1, Step 271, Loss: 0.020528677850961685
Epoch 1, Step 272, Loss: 0.2535678744316101
Epoch 1, Step 273, Loss: 0.6798949241638184
Epoch 1, Step 274, Loss: 0.07926136255264282
Epoch 1, Step 275, Loss: 0.034832827746868134
Epoch 1, Step 276, Loss: 0.00842326506972313
Epoch 1, Step 277, Loss: 0.01278840284794569
Epoch 1, Step 278, Loss: 0.4282195568084717
Epoch 1, Step 279, Loss: 0.1958579272031784
Epoch 1, Step 280, Loss: 0.007600037381052971
Epoch 1, Step 281, Loss: 0.015242217108607292
Epoch 1, Step 282, Loss: 0.6014161109924316
Epoch 1, Step 283, Loss: 0.03229040652513504
Epoch 1, Step 284, Loss: 0.14855575561523438
Epoch 1, Step 285, Loss: 0.09812512993812561
Epoch 1, Step 286, Loss: 0.07510839402675629
Epoch 1, Step 287, Loss: 0.06999646872282028
Epoch 1, Step 288, Loss: 0.49338966608047485
Epoch 1, Step 289, Loss: 0.21122829616069794
Epoch 1, Step 290, Loss: 0.5193177461624146
Epoch 1, Step 291, Loss: 0.28320595622062683
Epoch 1, Step 292, Loss: 0.3027288019657135
Epoch 1, Step 293, Loss: 0.1705668568611145
Epoch 1, Step 294, Loss: 0.37330693006515503
Epoch 1, Step 295, Loss: 0.3998366594314575
Epoch 1, Step 296, Loss: 0.00320621021091938
Epoch 1, Step 297, Loss: 0.09979146718978882
Epoch 1, Step 298, Loss: 0.06994595378637314
Epoch 1, Step 299, Loss: 0.2935537099838257
Epoch 1, Step 300, Loss: 0.010260829702019691
Epoch 1, Step 301, Loss: 0.0038691475056111813
Epoch 1, Step 302, Loss: 0.32343268394470215
Epoch 1, Step 303, Loss: 0.01473106537014246
Epoch 1, Step 304, Loss: 0.2547239661216736
Epoch 1, Step 305, Loss: 0.002880915068089962
Epoch 1, Step 306, Loss: 0.4755414128303528
Epoch 1, Step 307, Loss: 0.0048759328201413155
Epoch 1, Step 308, Loss: 0.019648797810077667
Epoch 1, Step 309, Loss: 0.04942838475108147
Epoch 1, Step 310, Loss: 0.04976080358028412
Epoch 1, Step 311, Loss: 0.057765353471040726
Epoch 1, Step 312, Loss: 0.10168293118476868
